pos,envo_biome_2,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19
"(-78.120000000000005, 163.66999999999999)",desert biome,1.5863850131147385e-07,1.5863850098443933e-07,1.5863850197076181e-07,1.5863850286622207e-07,1.5863850140865688e-07,1.586385010844384e-07,1.5863850120375254e-07,1.5863850209819493e-07,1.586385014025379e-07,1.5863850145853037e-07,0.9999969858684533,1.5863850165385127e-07,1.5863851937381046e-07,1.5863850152557157e-07,1.586385011248967e-07,1.5863850173439727e-07,1.5863850177566077e-07,1.5863850124179234e-07,1.5863850108366426e-07,1.5863850130620618e-07
"(-78.120000000000005, 163.71000000000001)",desert biome,3.2270140003859145e-07,3.2270139833858e-07,3.227014004307722e-07,0.002010366374922273,3.2270139941575987e-07,3.227014010483674e-07,3.2270139966073233e-07,3.2270140026459376e-07,3.2270140024648303e-07,3.227014001970796e-07,0.9979838249998729,3.22701399717216e-07,3.227014019653452e-07,3.2270140152007495e-07,3.227013990160421e-07,3.227014008772265e-07,3.2270140028571543e-07,3.227014034830175e-07,3.2270139875341944e-07,3.227013993244185e-07
"(-78.120000000000005, 164.21000000000001)",desert biome,7.740896731672674e-07,0.0001953495592951295,7.740896756789037e-07,0.686960414791375,7.740896719502847e-07,7.740896829194533e-07,7.740896713508162e-07,7.740896861168868e-07,0.00026022052561493854,7.740896725427976e-07,0.3095041071115127,0.0030682966669861736,7.740896797463126e-07,7.740896988668216e-07,7.740896747732143e-07,7.740896755656919e-07,7.740896720360853e-07,7.740897339746423e-07,7.740896720808793e-07,7.740896750910522e-07
"(-78.109999999999999, 163.72)",desert biome,9.86076604148157e-07,9.860765987554572e-07,9.860766031324022e-07,0.0011349914331262362,9.860766353145408e-07,9.860766006080974e-07,9.860766008398505e-07,9.860766095396806e-07,9.860766029192739e-07,9.86076602889276e-07,0.9988472591879127,9.860766202775675e-07,9.86076607885049e-07,9.86076626258668e-07,9.86076599974386e-07,9.860766124005363e-07,9.86076612945227e-07,9.860766238264615e-07,9.860765994150613e-07,9.860765999287794e-07
"(-78.109999999999999, 163.88)",desert biome,7.454786735850673e-07,7.45478672117883e-07,7.454786754938872e-07,7.454786736664774e-07,7.454786726166876e-07,7.454786726819841e-07,7.454786722514829e-07,7.454786755543734e-07,7.454786736211658e-07,7.454786735491618e-07,0.9999858359051821,7.454786752567549e-07,7.454786772474083e-07,7.454786802822228e-07,7.454786726407558e-07,7.454786793823699e-07,7.45478672138488e-07,7.454786786098276e-07,7.454786721811516e-07,7.454786750151168e-07
"(-78.109999999999999, 163.93000000000001)",desert biome,6.498654820695424e-07,6.498654782559217e-07,6.498654823713126e-07,6.498654806498552e-07,6.498654789965002e-07,6.498654782586571e-07,6.498654787721794e-07,6.498654809012465e-07,6.498654794981557e-07,6.498654826453994e-07,0.9999876525558744,6.49865479456659e-07,6.498654844140911e-07,6.498654832251081e-07,6.498654784560975e-07,6.498654803087843e-07,6.498654790232771e-07,6.498654815911632e-07,6.498654780718536e-07,6.498654784198259e-07
"(-78.109999999999999, 164.18000000000001)",desert biome,3.781776405598958e-07,3.7817763787984724e-07,3.78177641236075e-07,0.6550656804267098,3.781776382846067e-07,3.781776384888482e-07,3.781776388028853e-07,3.781776450885658e-07,3.7817763911961304e-07,3.7817764165135106e-07,0.015265808944801434,3.7817764073145565e-07,3.7817764481488227e-07,2.505589709061423e-05,3.781776382418983e-07,0.3296374038891585,3.781776385315143e-07,3.781776392644987e-07,3.7817763792243033e-07,3.781776388230847e-07
"(-78.099999999999994, 163.63)",desert biome,0.000769714756208807,1.2294376569840918e-06,1.2294376671941277e-06,1.229437668290602e-06,1.2294376631749504e-06,1.2294376610945507e-06,1.2294376635206542e-06,1.2294376654127473e-06,0.00043593282123601467,1.2294376815054424e-06,0.9987734519821765,1.2294376612412303e-06,1.2294376839294402e-06,1.2294376807124444e-06,1.2294376678911784e-06,1.229437683893791e-06,1.2294376809134733e-06,1.2294376606150965e-06,1.229437660067062e-06,1.2294376719720036e-06
"(-78.099999999999994, 163.80000000000001)",desert biome,6.692186224635068e-07,6.692186230828904e-07,6.69218621563658e-07,0.034585209160121526,6.692186209337858e-07,6.69218623128517e-07,6.692186219313317e-07,6.692186279398016e-07,6.692186230166401e-07,6.692186243856545e-07,0.965277318416258,6.692186259582416e-07,6.6921862907058e-07,6.692186265070118e-07,6.692186214805453e-07,9.153421149734241e-05,6.692186207662703e-07,3.52307141488503e-05,6.692186208931792e-07,6.692186208825764e-07
"(-78.099999999999994, 164.06999999999999)",desert biome,6.307317818797424e-07,6.307317751284404e-07,6.307317774700034e-07,0.00027641932606500347,6.307317798285388e-07,6.307317761444849e-07,6.307317762233074e-07,6.307317832787943e-07,6.307317764721901e-07,6.307317928441987e-07,0.9970617101359813,6.307317782358722e-07,6.307317800183688e-07,6.307317936590385e-07,6.307317758904921e-07,0.002651148097701497,6.307317758851849e-07,6.307317782900361e-07,6.30731775635089e-07,6.3073177533986e-07
"(-78.090000000000003, 163.75)",desert biome,6.533470996376362e-07,6.53347097428232e-07,6.533470981955261e-07,8.614764787037546e-05,6.533471017425019e-07,6.533470987004422e-07,6.53347098328007e-07,6.533471042971781e-07,6.533470987410045e-07,6.533471001924299e-07,0.9999020921043453,6.533471000628155e-07,6.533471015291236e-07,6.533470975428479e-07,6.533470990142157e-07,6.533470982762242e-07,6.533470976266831e-07,6.533470976566078e-07,6.533470975591247e-07,6.53347097999092e-07
"(-78.090000000000003, 163.81)",desert biome,5.48167479613185e-07,5.48167476510884e-07,5.481674794418925e-07,5.481674831815663e-07,5.48167481722553e-07,5.481674772876948e-07,5.48167477755383e-07,5.48167481426474e-07,5.481674792642212e-07,5.481674787806993e-07,0.9999895848178741,5.481674872927296e-07,5.481674819295122e-07,5.481674808078221e-07,5.481674779345126e-07,5.481674818686833e-07,5.481674831052577e-07,5.481674814130531e-07,5.481674766131077e-07,5.481674796093403e-07
"(-78.090000000000003, 163.84)",desert biome,5.310618066143261e-07,5.310618066110599e-07,5.310618060174151e-07,0.7704343152946932,5.3106180671663e-07,5.310618100266796e-07,5.310618066357345e-07,5.310618143626372e-07,0.010276352869162585,5.310618074345469e-07,0.01470991652338935,0.05792036572308122,5.310618089666186e-07,5.310618071852276e-07,5.310618067554073e-07,4.390875544538567e-05,0.14660770596879208,5.31061924405934e-07,5.310618054865097e-07,5.310618190218843e-07
"(-78.090000000000003, 163.87)",desert biome,6.693350859743861e-07,6.693350830412278e-07,6.69335088422281e-07,0.00737986028358984,6.693350845504907e-07,6.69335083989694e-07,6.693350860151409e-07,6.69335088379409e-07,6.693350849190406e-07,6.693350895135982e-07,0.9926080916848561,6.693350865818961e-07,6.693350898605008e-07,6.69335091053554e-07,6.693350844490495e-07,6.693350890628471e-07,6.693350841276339e-07,6.693350868026961e-07,6.693350830843399e-07,6.693350840485149e-07
"(-78.090000000000003, 163.91)",desert biome,6.067887604712836e-07,6.067887537791654e-07,6.067887550760372e-07,6.067887604016436e-07,6.067887630335049e-07,6.06788758979574e-07,6.067887545365219e-07,6.067887588804595e-07,6.067887613716008e-07,6.067887559370201e-07,0.9942350691309023,0.0020426955690828114,6.067887587361876e-07,2.5431545247472688e-05,6.067887559429765e-07,6.067887607138196e-07,0.0036870951346467977,6.067887535873443e-07,6.067887529524093e-07,6.067887561940083e-07
"(-78.090000000000003, 164.0)",desert biome,4.454978004577269e-07,4.454978001516089e-07,4.4549780041082323e-07,4.4549780490173363e-07,4.454978040845156e-07,4.454978015100014e-07,4.4549780231562267e-07,4.454978025462234e-07,4.454978007715739e-07,4.454978003846977e-07,0.9997594778078106,4.4549780564418813e-07,4.4549780170979776e-07,4.4549779989118784e-07,4.4549780065429137e-07,4.454978031311367e-07,4.4549780196903383e-07,4.454978060187694e-07,0.00023250323175304913,4.4549779976056663e-07
"(-78.090000000000003, 164.08000000000001)",desert biome,5.601801564349073e-07,5.60180154723479e-07,5.601801594188438e-07,5.60180165050116e-07,5.601801560596957e-07,5.601801564655693e-07,5.601801549450956e-07,5.601801563151521e-07,5.601801571268172e-07,5.601801549368252e-07,0.9999893565770162,5.601801583897644e-07,5.601801557673954e-07,5.601801612157136e-07,5.601801561968854e-07,5.601801561835474e-07,5.601801542214125e-07,5.601801588891513e-07,5.601801547408955e-07,5.601801568221412e-07
"(-78.090000000000003, 164.13)",desert biome,5.249343853388222e-07,5.249343837049256e-07,5.249343868880158e-07,0.021467875486694467,5.249343852085286e-07,5.249343847386372e-07,5.249343845253037e-07,5.24934386278202e-07,5.249343952381443e-07,5.249343850525402e-07,0.9785226756943596,5.249343894137554e-07,5.24934386021226e-07,5.249343861751847e-07,5.249343843152601e-07,5.249343860260771e-07,5.249343850110998e-07,5.249343841858107e-07,5.249343837287358e-07,5.249343841259282e-07
"(-78.090000000000003, 164.13999999999999)",desert biome,5.678011346471576e-07,5.678011344867248e-07,5.678011457405253e-07,5.678011381576515e-07,5.678011358811891e-07,5.678011360149036e-07,5.678011340261625e-07,5.678011361378452e-07,5.678011354711361e-07,5.678011354161709e-07,0.9999892117783996,5.678011418235908e-07,5.678011366126805e-07,5.678011388419205e-07,5.678011339572983e-07,5.678011337096684e-07,5.678011356575718e-07,5.678011427168152e-07,5.678011371425169e-07,5.678011336549034e-07
"(-78.090000000000003, 164.30000000000001)",desert biome,8.81694277323217e-07,8.816942653143267e-07,8.816942704596583e-07,0.9451383280815683,8.81694265865807e-07,8.81694264803824e-07,8.816942761242824e-07,8.816942709615466e-07,8.81694268941841e-07,8.816942646924403e-07,0.05484580142158007,8.816942689662957e-07,8.816942708115897e-07,8.816942776581002e-07,8.816942640112459e-07,8.816942695952632e-07,8.816942746063708e-07,8.816942684247929e-07,8.816942639575336e-07,8.816942689807055e-07
"(-78.079999999999998, 163.90000000000001)",desert biome,4.865753875065684e-07,4.865753852135675e-07,4.865753866280085e-07,4.86575389773893e-07,0.00021943926472385656,4.86575386354605e-07,4.865753863522212e-07,4.865753870731417e-07,4.865753900860599e-07,4.865753865969298e-07,0.9997718023782782,4.865753869509661e-07,4.865753869861237e-07,4.865753871430049e-07,4.865753861473714e-07,4.865753914902828e-07,4.86575396188962e-07,4.865753896175021e-07,4.865754010615399e-07,4.865753868084729e-07
"(-78.079999999999998, 164.09)",desert biome,8.011921834642223e-07,8.011921752985303e-07,8.011921767376868e-07,8.011921869559896e-07,8.011921844882085e-07,8.011921961395184e-07,8.011921781219931e-07,8.011921916054767e-07,8.01192181418214e-07,8.011921942341049e-07,0.9998974045307489,8.817400992939903e-05,8.011921768374217e-07,8.011921804099781e-07,8.01192198470763e-07,8.011921884593973e-07,8.011921902518063e-07,8.011921761711749e-07,8.011921788976803e-07,8.011921838455903e-07
"(-78.079999999999998, 164.09999999999999)",desert biome,6.191797164043759e-07,6.191797114614698e-07,6.191797154632683e-07,6.191797129213784e-07,6.191797134106203e-07,6.191797125954494e-07,6.191797119396861e-07,6.191797135254852e-07,6.19179714044354e-07,6.191797122605257e-07,0.9999882355854428,6.191797150591824e-07,6.191797133581258e-07,6.191797149206398e-07,6.191797118098985e-07,6.191797155102882e-07,6.191797129087596e-07,6.19179715577493e-07,6.19179710904293e-07,6.191797129475578e-07
"(-78.079999999999998, 164.11000000000001)",desert biome,3.281399721435865e-07,3.2813997178836816e-07,3.281399755262086e-07,0.0019436467958456477,3.281399718132659e-07,3.28139973783162e-07,3.281399719588459e-07,3.2813997243739916e-07,3.2813997301751196e-07,3.2813997214576725e-07,0.9980504466846385,3.2813997300372227e-07,3.281399724340945e-07,3.2813998329439606e-07,3.2813997212760877e-07,3.281399720886409e-07,3.281399717419539e-07,3.281399728352781e-07,3.281399717888778e-07,3.2813997190119507e-07
"(-78.079999999999998, 164.12)",desert biome,1.4610697990459564e-07,1.461069800070229e-07,1.4610697973456513e-07,0.005222422608737322,1.4610697989020728e-07,1.4610698151704472e-07,1.4610697972457292e-07,1.4610698041083134e-07,5.030334206534738e-05,1.4610698020044966e-07,0.9946919481098448,1.4610698345930498e-07,1.46106980185405e-07,1.4610698020026816e-07,1.461069803183881e-07,1.4610697994364497e-07,1.461069803330846e-07,1.4610697983799058e-07,3.2988227667076716e-05,1.46106979695572e-07
"(-78.079999999999998, 164.13)",desert biome,6.244224123974602e-07,6.244224113306728e-07,6.244224117285602e-07,6.244224120415644e-07,6.244224100501295e-07,6.244224120108617e-07,6.244224099026159e-07,6.24422411114076e-07,6.244224110716824e-07,6.24422412223074e-07,0.9999881359741813,6.244224138352238e-07,6.244224123031037e-07,6.244224172068915e-07,6.244224104752453e-07,6.244224101280413e-07,6.244224098344605e-07,6.244224110768906e-07,6.244224101685424e-07,6.244224096051121e-07
"(-78.069999999999993, 163.72)",desert biome,2.1632753823990892e-07,2.1632753778092294e-07,2.1632753812995248e-07,0.8677673638488235,7.871249903057896e-06,2.163275375010345e-07,2.1632753783834127e-07,7.576915139306778e-06,2.163275380589282e-07,1.7717607873153414e-05,2.1632753915467425e-07,0.07473616883937187,2.163275409985664e-07,2.1632753898817762e-07,2.1632753768664423e-07,0.00021863668319266227,2.1632753857164985e-07,0.05724185259769715,2.163275375583531e-07,2.163275387507048e-07
"(-78.069999999999993, 163.75999999999999)",desert biome,6.622078143887954e-07,6.622078036885951e-07,6.622078120035217e-07,0.5999498988408772,6.622078098630053e-07,6.622078093938994e-07,6.622078129725885e-07,6.622078153002105e-07,6.62207809312432e-07,0.0003211675135620148,0.3859350696467403,6.622078108547381e-07,0.008388588542536329,6.622078098653507e-07,6.62207809261726e-07,0.0036443183142617504,0.0013507763834330081,0.00040157205705965474,6.622078043351996e-07,6.622078087489574e-07
"(-78.069999999999993, 163.77000000000001)",desert biome,5.917650007841325e-07,5.917649986664299e-07,5.917650022122073e-07,0.999988756464961,5.917650036361365e-07,5.917649986627644e-07,5.917650003076471e-07,5.91764999814509e-07,5.917650005056685e-07,5.917649993640939e-07,5.917649998178157e-07,5.917650021868358e-07,5.91765000087233e-07,5.917650029532885e-07,5.917649986654589e-07,5.917650270203548e-07,5.917650027957254e-07,5.917650025203225e-07,5.917649987815943e-07,5.917650003974807e-07
"(-78.069999999999993, 163.78)",desert biome,2.2307785004939088e-07,2.2307784982624696e-07,2.2307784981693786e-07,2.230778537010709e-07,2.2307785008043009e-07,2.230778503918051e-07,2.2307784988078508e-07,2.230778509601972e-07,0.0005315323844059224,2.2307785020572767e-07,0.999464452214271,2.230778542560308e-07,2.2307785097830581e-07,2.2307784991955614e-07,2.23077849954652e-07,2.2307785012385881e-07,2.2307784997329116e-07,2.2307785008443147e-07,2.230778630610611e-07,2.2307784985217106e-07
"(-78.069999999999993, 163.78999999999999)",desert biome,2.2988188765158378e-07,2.2988188673000863e-07,2.2988188702637595e-07,2.2988189096282144e-07,2.2988188787140657e-07,2.2988188751431254e-07,2.2988188705090907e-07,2.2988188803698737e-07,2.298818873980879e-07,2.298818877767153e-07,0.9999956322441352,2.2988188884259008e-07,2.2988188789867306e-07,2.2988188730219545e-07,2.298818871696389e-07,2.298818879230875e-07,2.2988188694231346e-07,2.2988188696652484e-07,2.298818867608969e-07,2.2988188693408904e-07
"(-78.069999999999993, 163.81)",desert biome,6.175507971424209e-07,6.175507937647443e-07,6.175507956908323e-07,0.0005909171175085358,6.175507981940096e-07,6.175507959731397e-07,6.175507956749075e-07,6.175507988694724e-07,6.175508004426878e-07,6.175507970709647e-07,0.9993979669681358,6.175508008621402e-07,6.175508020387585e-07,6.17550794966738e-07,6.175507956063779e-07,6.17550801388551e-07,6.17550797803422e-07,6.175507988652689e-07,6.175507942999323e-07,6.175507971751318e-07
"(-78.069999999999993, 163.88999999999999)",desert biome,2.834820685889033e-07,2.8348206768680536e-07,2.834820688136693e-07,0.0036178812521339998,2.834820685517291e-07,2.8348207175495585e-07,2.8348206790885124e-07,2.8348206938135184e-07,7.585275044974545e-06,2.834820687230663e-07,0.996369714277643,2.8348207342616774e-07,2.8348206999010267e-07,2.8348207278153734e-07,2.83482069384262e-07,2.834820692479814e-07,2.8348206829883426e-07,2.8348206809020925e-07,2.83482067417102e-07,2.834820680195018e-07
"(-78.069999999999993, 163.94999999999999)",desert biome,1.0336131024413423e-06,1.033613098294113e-06,1.0336131024827605e-06,1.0336131032295001e-06,1.0336130996247056e-06,1.0336131109222548e-06,1.0336131003057122e-06,1.0336131048209183e-06,1.0336131219163747e-06,1.0336131038309886e-06,0.9999167214136903,1.0336131017468617e-06,1.0336131177632489e-06,6.467355043746257e-05,1.033613101634773e-06,1.0336131038606127e-06,1.0336131012290825e-06,1.0336131003647765e-06,1.0336130985221535e-06,1.033613099166278e-06
"(-78.069999999999993, 164.09999999999999)",desert biome,7.005842902009631e-07,7.00584289437378e-07,7.005843047194375e-07,0.001252352650130195,7.005842880925748e-07,7.005842888553386e-07,7.005842881764602e-07,7.005842893976443e-07,7.005842953631722e-07,7.005842884680276e-07,0.9987350368325779,7.005842901123018e-07,7.005842891295661e-07,7.005843518270115e-07,7.005842875889422e-07,7.00584290736479e-07,7.005842886183793e-07,7.005842959045756e-07,7.00584287678558e-07,7.005842876766542e-07
"(-78.069999999999993, 164.24000000000001)",desert biome,6.964467311575671e-07,6.964467296405047e-07,6.964467332447956e-07,0.001691548782206692,6.964467324599531e-07,6.964467329028016e-07,6.964467303734773e-07,6.964467316808472e-07,6.964467315865665e-07,6.964467339359891e-07,0.9982959151766166,6.964467318885522e-07,6.96446732659358e-07,6.964467324439459e-07,6.964467342933842e-07,6.96446732950657e-07,6.964467297416201e-07,6.964467365561781e-07,6.964467295020917e-07,6.964467298500569e-07
"(-78.069999999999993, 164.28999999999999)",desert biome,5.530789988067899e-07,5.530789931815323e-07,4.0262711414702533e-05,0.8536165334914351,0.0017163738449470932,5.530789950596349e-07,5.530789973917201e-07,0.028218903802081276,5.53079000382217e-07,0.016999301516841796,0.0063618112545888485,0.028775429118641754,0.000128555023945604,5.530790014584714e-07,5.530789930884203e-07,0.06388236155019489,5.530790011048493e-07,0.0002549368959389213,5.530789911506512e-07,5.530789986057702e-07
"(-78.060000000000002, 163.68000000000001)",desert biome,5.625182878364872e-07,5.625182822064962e-07,5.625182891320991e-07,5.62518296238502e-07,5.62518284537192e-07,5.625182839901215e-07,5.625182881002949e-07,5.625182884650339e-07,5.625182882252033e-07,5.625182878290904e-07,0.9958297209039824,5.62518286575851e-07,0.0041601537668375,5.62518294736436e-07,5.625182843167148e-07,5.625182962973239e-07,5.625182887778756e-07,5.625182860210307e-07,5.62518282701182e-07,5.625182842912431e-07
"(-78.060000000000002, 163.69)",desert biome,7.994244208346001e-07,7.994244179150571e-07,7.994244360813674e-07,7.994244245865721e-07,7.994244269763728e-07,7.994244308786849e-07,7.994244233399624e-07,7.994244183708576e-07,7.994244254399137e-07,7.994244192744153e-07,0.9999848109358779,7.994244299629353e-07,7.994244196252466e-07,7.994245042227886e-07,7.994244197576764e-07,7.994244228322838e-07,7.994244166291008e-07,7.994244279930226e-07,7.994244154093226e-07,7.994244219026784e-07
"(-78.060000000000002, 163.72999999999999)",desert biome,6.682705189132001e-07,6.682705162395952e-07,6.682705195394422e-07,6.682705186428725e-07,6.682705188445012e-07,6.682705936850884e-07,6.682705184256192e-07,6.682705195098052e-07,6.682705260489696e-07,6.682705187833016e-07,0.999987302860021,6.682705444036996e-07,6.68270523031501e-07,6.68270527856424e-07,6.682705180041269e-07,6.682705198543002e-07,6.682705235428166e-07,6.68270519961627e-07,6.682705168448678e-07,6.682705169547743e-07
"(-78.060000000000002, 163.74000000000001)",desert biome,1.42983787361548e-07,1.4298378744207875e-07,1.4298378737286377e-07,0.061514658157660336,1.4298378666228248e-07,1.429837864101552e-07,1.4298378669791343e-07,1.4298378738588883e-07,1.429837868801613e-07,1.4298378714941788e-07,0.9376270808799518,1.429837880337672e-07,0.0008558302380080324,1.429837879571296e-07,1.4298378644178467e-07,1.4298378745026498e-07,1.4298378723245096e-07,1.4298378623125823e-07,1.4298378674634045e-07,1.429837861321275e-07
"(-78.060000000000002, 163.75)",desert biome,1.7076386223693622e-07,1.7076386144723184e-07,1.707638617499117e-07,0.9854500445561933,1.7076386214202965e-07,1.7076386292015337e-07,1.7076386306386116e-07,1.7076386373977574e-07,1.7076386318753414e-07,1.7076386350210447e-07,0.01088616790887506,0.0032826184658392697,1.707638634331693e-07,1.7076386192703971e-07,0.00011111934542615817,0.0002333797032213427,9.137484430475344e-06,2.5312605800059027e-05,1.7076386338466425e-07,1.7076386173183144e-07
